r,l,t
23.0,23,0.739337
11.0,11,0.745868
32.0,32,0.76252
13.0,13,0.768774
17.0,17,0.777811
29.0,29,0.792322
18.0,18,0.801333
18.0,18,0.81224
24.0,24,0.822441
17.0,17,0.831313
21.0,21,0.840437
20.0,20,0.849821
11.0,11,0.854504
26.0,26,0.865793
10.0,10,0.870511
21.0,21,0.880423
18.0,18,0.887432
57.0,57,0.912501
10.0,10,0.91826
17.0,17,0.926222
14.0,14,0.932879
10.0,10,0.937095
23.0,23,0.945695
21.0,21,0.95532
24.0,24,0.968632
39.0,39,0.987056
17.0,17,0.996975
12.0,12,1.002801
12.0,12,1.008119
13.0,13,1.017395
16.0,16,1.02707
12.0,12,1.036402
15.0,15,1.047829
9.0,9,1.05101
17.0,17,1.059405
16.0,16,1.067782
12.0,12,1.072702
14.0,14,1.080216
9.0,9,1.085097
13.0,13,1.092884
11.0,11,1.098977
25.0,25,1.112708
26.0,26,1.129346
15.0,15,1.138563
12.0,12,1.14532
29.0,29,1.167351
15.0,15,1.175837
14.0,14,1.185099
28.0,28,1.207013
13.0,13,1.213248
23.0,23,1.22648
9.0,9,1.23226
14.0,14,1.239705
22.0,22,1.252361
25.0,25,1.336441
15.0,15,1.350682
18.0,18,1.358554
21.0,21,1.370693
20.0,20,1.380772
19.0,19,1.389524
15.0,15,1.398406
27.0,27,1.41796
31.0,31,1.441106
9.0,9,1.45206
13.0,13,1.470878
25.0,25,1.493154
10.0,10,1.499606
30.0,30,1.52126
16.0,16,1.531469
17.0,17,1.5404
11.0,11,1.546454
21.0,21,1.559615
21.0,21,1.572414
17.0,17,1.581217
50.0,50,1.605256
21.0,21,1.615022
10.0,10,1.619422
15.0,15,1.625869
19.0,19,1.636005
23.0,23,1.650098
35.0,35,1.668971
33.0,33,1.683582
17.0,17,1.691668
27.0,27,1.706635
51.0,51,1.735671
21.0,21,1.745993
18.0,18,1.756745
19.0,19,1.767648
16.0,16,1.77502
25.0,25,1.786981
12.0,12,1.792214
71.0,71,1.825099
136.0,136,1.886939
49.0,49,1.954073
37.0,37,1.97004
43.0,43,1.991004
121.0,121,2.045658
20.0,20,2.054127
43.0,43,2.073502
50.0,50,2.098011
62.0,62,2.125896
75.0,75,2.165073
152.0,152,2.252137
100.0,100,2.307851
43.0,43,2.331263
87.0,87,2.380533
335.0,335,2.802583
277.0,277,2.914348
36.0,36,2.932684
139.0,139,2.98731
75.0,75,3.015597
72.0,72,3.043798
146.0,146,3.102175
119.0,119,3.483378
158.0,158,3.54381
211.0,211,3.625674
96.0,96,3.665614
71.0,71,3.694225
63.0,63,3.721509
79.0,79,3.757761
89.0,89,3.800285
348.0,348,4.33712
467.0,467,4.611386
92.0,92,4.680012
184.0,184,4.778404
363.0,363,5.282958
305.0,305,5.470063
303.0,303,5.626929
173.0,173,5.95922
225.0,225,6.081792
500.0,500,6.337549
500.0,500,6.927505
500.0,500,7.155199
500.0,500,7.745274
500.0,500,7.973562
500.0,500,8.568926
500.0,500,8.801234
300.0,300,9.248446
295.0,295,9.374038
174.0,174,9.456177
279.0,279,9.586743
148.0,148,9.653085
137.0,137,9.882835
500.0,500,10.096047
500.0,500,10.66707
500.0,500,10.885885
500.0,500,11.441167
500.0,500,11.648506
370.0,370,11.79204
243.0,243,12.168672
500.0,500,12.390604
500.0,500,12.957468
448.0,448,13.168378
191.0,191,13.244762
171.0,171,13.438243
115.0,115,13.485348
25.0,25,13.496929
108.0,108,13.54222
102.0,102,13.592353
99.0,99,13.633356
23.0,23,13.645966
93.0,93,13.684006
73.0,73,13.713865
79.0,79,13.746858
66.0,66,13.772833
37.0,37,13.788115
107.0,107,13.830443
132.0,132,13.967727
125.0,125,14.016776
141.0,141,14.071782
171.0,171,14.140445
176.0,176,14.207251
230.0,230,14.296391
232.0,232,14.543436
209.0,209,14.623227
232.0,232,14.715605
151.0,151,14.774438
142.0,142,14.828265
17.0,17,14.835475
16.0,16,14.841336
14.0,14,14.846888
11.0,11,14.85097
96.0,96,14.964508
20.0,20,14.972267
133.0,133,15.023292
93.0,93,15.064046
126.0,126,15.114453
122.0,122,15.164418
113.0,113,15.20919
129.0,129,15.258726
156.0,156,15.319355
110.0,110,15.441173
21.0,21,15.449911
77.0,77,15.478956
108.0,108,15.521985
88.0,88,15.555155
99.0,99,15.594609
129.0,129,15.646924
100.0,100,15.68518
140.0,140,15.740194
109.0,109,15.781896
117.0,117,15.917069
114.0,114,15.961881
122.0,122,16.0082
17.0,17,16.016749
108.0,108,16.058128
143.0,143,16.120518
125.0,125,16.171783
92.0,92,16.207664
111.0,111,16.251852
151.0,151,16.42325
171.0,171,16.512268
232.0,232,16.634692
279.0,279,16.76609
220.0,220,16.858296
193.0,193,17.086958
266.0,266,17.197626
500.0,500,17.393476
479.0,479,17.891134
60.0,60,17.91401
36.0,36,17.928957
22.0,22,17.93937
40.0,40,17.954955
13.0,13,17.960329
26.0,26,17.970094
14.0,14,17.975649
22.0,22,17.983612
24.0,24,17.992918
23.0,23,18.002122
492.0,492,18.498696
500.0,500,18.694127
500.0,500,19.213923
352.0,352,19.351651
262.0,262,19.45616
354.0,354,19.810442
500.0,500,20.006259
340.0,340,20.137287
105.0,105,20.493137
113.0,113,20.535435
500.0,500,20.730451
289.0,289,20.842375
500.0,500,21.352189
500.0,500,21.550238
500.0,500,22.059026
500.0,500,22.253573
500.0,500,22.757026
500.0,500,22.952214
500.0,500,23.465446
500.0,500,23.661306
500.0,500,24.174244
500.0,500,24.388986
500.0,500,24.891567
500.0,500,25.086781
167.0,167,25.477602
340.0,340,25.614808
500.0,500,25.813042
361.0,361,26.272634
377.0,377,26.421458
435.0,435,26.90358
468.0,468,27.087274
500.0,500,27.600759
275.0,275,27.711651
500.0,500,27.907422
500.0,500,28.415346
281.0,281,28.533408
308.0,308,28.652074
500.0,500,29.160193
500.0,500,29.354881
500.0,500,29.868296
500.0,500,30.064327
500.0,500,30.603123
500.0,500,30.800806
500.0,500,31.307666
441.0,441,31.489273
296.0,296,31.841263
244.0,244,31.936295
236.0,236,32.02983
500.0,500,32.488938
254.0,254,32.59421
160.0,160,32.673805
136.0,136,32.736451
85.0,85,32.777261
62.0,62,32.804554
133.0,133,32.976858
92.0,92,33.021712
67.0,67,33.051836
147.0,147,33.115159
157.0,157,33.182222
136.0,136,33.245206
429.0,429,33.736151
318.0,318,33.864721
122.0,122,33.91262
180.0,180,33.984453
445.0,445,34.48137
153.0,153,34.543688
417.0,417,34.70899
